participant_id,frame,t_l,med_rt_obs,p_ll_obs,med_rt_prd,p_ll_prd
1,delay,2,3.425,1,3.5191623719281986,0.9983890284190183
1,delay,4,5.119999999999999,0.8333333333333334,4.56275361514676,0.9397588516938775
1,delay,8,5.77,0.7272727272727273,4.527982643339391,0.940517521918492
1,delay,16,5.215,0.9166666666666666,4.126693495617076,0.9839072334253139
1,delay,32,5.369999999999999,0.4166666666666667,4.628755369738313,0.9227350033366529
1,delay,64,3.26,0.8181818181818182,4.251879335243296,0.9762133601493042
1,delay,128,2.415,1,3.8819750069404213,0.9935085466839936
1,date,2,3.555,0.9166666666666666,3.9081862798556397,0.999734095098849
1,date,4,5.46,1,4.830074911704275,0.9869568567542033
1,date,8,5.955,1,4.791976705905833,0.9874075570938258
1,date,16,4.54,1,4.401444814859411,0.9970715525736891
1,date,32,6.529999999999999,0.9166666666666666,4.904993243376931,0.9821809684592655
1,date,64,6.63,0.8333333333333334,4.51533007272568,0.9958016406451206
1,date,128,4.404999999999999,1,4.193182808077968,0.9988943000057726
6,delay,2,5.26,1,3.30001765769911,0.9969408627516267
6,delay,4,4.715,1,3.3222720691057748,0.9949800867068473
6,delay,8,6.06,0.8333333333333334,4.259019182942729,0.7563480557624724
6,delay,16,5.405,0.9166666666666666,3.6743369898650027,0.9717190099200493
6,delay,32,2.545,1,2.781389503676254,0.9998487648433719
6,delay,64,4.800000000000001,1,3.6249258107513724,0.9861584241642962
6,delay,128,3.3449999999999998,0.9166666666666666,4.118675916776205,0.9225395920824556
6,date,2,2.995,1,3.152233526065398,0.9985666929894718
6,date,4,2.6849999999999996,1,3.172745216026336,0.9973980456718093
6,date,8,4.19,0.5,4.115253253921172,0.7917937018697718
6,date,16,3.67,0.75,3.5054741166452934,0.9835422732944418
6,date,32,2.56,1,2.6848945662025456,0.9998929102501074
6,date,64,2.9699999999999998,1,3.457678454554928,0.9924795675311346
6,date,128,3.355,0.4166666666666667,3.9592479666832903,0.9509289425049103
14,delay,2,3.08,0.09090909090909091,2.6767475168470747,0.0029445218870482923
14,delay,4,3,0,2.785939070239652,0.005525023015587426
14,delay,8,3.84,0,2.9106867253386457,0.010527882670971897
14,delay,16,1.8900000000000001,0,2.90801862206199,0.011051716916875677
14,delay,32,2.7199999999999998,0.25,2.961563900035502,0.015865775764532894
14,delay,64,2.5,0,2.9863724521330415,0.014340590484641305
14,delay,128,2.38,0.4444444444444444,2.9833090190654312,0.019524188613074943
14,date,2,4.045,0.25,3.2609615311520668,0.015859635291535615
14,date,4,5.1,0,3.5102811360829174,0.05529299966731014
14,date,8,3.99,0,3.7085793979698223,0.16425907300445794
14,date,16,4.8,0,3.7053862914490883,0.1629904197550095
14,date,32,5.48,1,3.782728986064625,0.2750521238245277
14,date,64,3.7800000000000002,0.4166666666666667,3.7805419187832814,0.28590694063360145
14,date,128,3.075,0.3333333333333333,3.778309704230845,0.28872223830512156
17,delay,2,2.875,1,4.236396197306088,0.6062518136732754
17,delay,4,3.96,0.08333333333333333,4.221371510064701,0.37784120858570647
17,delay,8,3.745,0.16666666666666666,4.192292496375179,0.41579721945983694
17,delay,16,5.109999999999999,0.5,4.1241352749809685,0.7763589468708495
17,delay,32,4.9350000000000005,0.9166666666666666,3.945298081663607,0.9070241820308873
17,delay,64,3.45,1,3.5021315481896984,0.98716694937884375
17,delay,128,3.505,1,3.5916588600300465,0.9818358859974776
17,date,2,4.295,1,4.366858238942225,0.8762581659953997
17,date,4,4.93,0.5,4.5458349035805385,0.6459804401579724
17,date,8,4.285,0.16666666666666666,4.519156590145171,0.6681847225860991
17,date,16,5.125,0.9166666666666666,4.139283970219844,0.9413616128341995
17,date,32,4.33,1,3.9234426710634387,0.980203302877458
17,date,64,3.375,1,3.5459405578280743,0.9970894158810394
17,date,128,4.914999999999999,1,3.6135912221305615,0.9959233028939993
20,delay,2,4.48,1,3.5921518023680616,0.9881654770831372
20,delay,4,3.4050000000000002,0.8333333333333334,3.9498549687509064,0.9427713986200651
20,delay,8,2.755,0.08333333333333333,4.237959158059729,0.7588473124841109
20,delay,16,4.7,0.5833333333333334,4.232335660277954,0.7677397555045772
20,delay,32,4.43,0.25,4.298018870014805,0.5998904193927261
20,delay,64,5.055,0.8333333333333334,4.305840355978639,0.49463745363612294
20,delay,128,3.7750000000000004,0.5833333333333334,4.293632223695926,0.379957858235435
20,date,2,4.22,1,3.5775245139419147,0.9887448088492483
20,date,4,5.145,0.9166666666666666,3.9391560594778,0.9453846207339824
20,date,8,6.32,0.6666666666666666,4.23428577907623,0.7644845099857923
20,date,16,5.17,0.36363636363636365,4.228463659681212,0.7732561860843336
20,date,32,5.8149999999999995,0.4166666666666667,4.297030592046549,0.6052551123617157
20,date,64,5.279999999999999,0.8333333333333334,4.3055657390549795,0.49895460431274186
20,date,128,5.925,0.4166666666666667,4.294223296003805,0.3826699774709275
23,delay,2,2.34,0.5,2.443583428657307,0.40843804643552306
23,delay,4,2.2,0.6666666666666666,2.3535771800544065,0.9088546975402028
23,delay,8,2.495,0.75,2.4158670353181866,0.796232703449397
23,delay,16,2.13,0,2.460233404548672,0.370155034841625
23,delay,32,2.49,0,2.459402050490841,0.3596368318560522
23,delay,64,2.375,0,2.3843537193495448,0.12148225905632604
23,delay,128,2.5700000000000003,0.16666666666666666,2.445699935344212,0.26942177468891026
23,date,2,2.37,1,2.4435834286140037,0.40843804659945615
23,date,4,2.7,0.9166666666666666,2.3535771799808476,0.9088546976180292
23,date,8,3.165,1,2.41586703525792,0.7962327036029454
23,date,16,2.5199999999999996,0.16666666666666666,2.4602334045258005,0.3703788832008914
23,date,32,2.56,0.08333333333333333,2.4594020505129413,0.3596368320501442
23,date,64,2.515,0,2.3843537193952464,0.12148225912776957
23,date,128,2.07,0,2.445699935379266,0.275653653198563
25,delay,2,2.14,0.9166666666666666,2.5554841887984043,0.8790503727141444
25,delay,4,2.79,0.3,2.8249721551912867,0.3868967097463227
25,delay,8,2.435,0.16666666666666666,2.7135500840190376,0.44599484347023244
25,delay,16,2.43,0.3333333333333333,2.7657364043097816,0.3457814847847862
25,delay,32,2.61,0.45454545454545453,2.62850698082778,0.4216631094181195
25,delay,64,2.04,0.36363636363636365,2.338401950106789,0.2077236194593517
25,delay,128,2.9050000000000002,0.7,2.4145711497536766,0.62222361065805
25,date,2,2.735,0.9166666666666666,2.3340666905459715,0.9536921741562827
25,date,4,3.465,0.9166666666666666,2.832038588830533,0.590247397821606
25,date,8,2.975,0.6666666666666666,2.756765486297065,0.6875580139256211
25,date,16,2.64,0.45454545454545453,2.6338161444174553,0.6217666348295839
25,date,32,3.24,0.6363636363636364,2.6282845226344977,0.5947127888957672
25,date,64,2.67,0.3333333333333333,2.455748458084156,0.4208899209442313
25,date,128,2.4749999999999996,0.8333333333333334,2.245862394869338,0.8299149687119572
27,delay,2,2.54,1,2.4866383769370395,0.9780048962857039
27,delay,4,3.91,0.8181818181818182,2.9679989362684243,0.8916264193327433
27,delay,8,2.62,1,2.338055717150416,0.987472271019157
27,delay,16,2.51,1,2.3948315821664097,0.9771097679893342
27,delay,32,3.01,0.6666666666666666,2.9011158911268873,0.8698452159531307
27,delay,64,2.89,0.9166666666666666,2.8837669333725993,0.8538974791046031
27,delay,128,2.8200000000000003,0.5833333333333334,2.998268130665321,0.49816374136199765
27,date,2,2.665,0.9166666666666666,2.9491351998967654,0.942789439166573
27,date,4,2.87,1,3.4279639656649006,0.8013774036274475
27,date,8,3.665,1,2.8471588382784794,0.9530731186276604
27,date,16,3.17,0.8333333333333334,2.9710223463120067,0.9246342269640542
27,date,32,4.01,0.9166666666666666,3.5600539990801794,0.700109221537051
27,date,64,4.3950000000000005,0.75,3.6393479654838132,0.6313617351342137
27,date,128,2.86,0.08333333333333333,3.315566348216702,0.22180431216850327
33,delay,2,3.41,1,3.4187513944201933,0.9990673400276595
33,delay,4,3.4400000000000004,1,4.056638727008366,0.9890910063853574
33,delay,8,3.57,0.9090909090909091,4.0820570295771645,0.9876020832404377
33,delay,16,5.79,0.6666666666666666,4.78225227620604,0.883576539010916
33,delay,32,5.380000000000001,0.5833333333333334,4.938410339476552,0.8054623445996762
33,delay,64,6.58,0.7272727272727273,4.5459611980673955,0.9539507425727187
33,delay,128,4.449999999999999,0.08333333333333333,5.056650076816217,0.666030987995774
33,date,2,3.6100000000000003,0.9166666666666666,3.239016433283171,0.9995798888981603
33,date,4,4.595,1,3.7448187714988688,0.9960653549186405
33,date,8,4.455,0.9166666666666666,3.766109832088465,0.9959569373991195
33,date,16,3.7199999999999998,0.8333333333333334,4.442778735626237,0.9603289409186189
33,date,32,6.02,0.7272727272727273,4.647654529655104,0.9266306128391323
33,date,64,4.285,1,4.186992212151021,0.9851402371028327
33,date,128,7.48,0.8181818181818182,4.859984362760074,0.8656656546354117
35,delay,2,3.6900000000000004,0.25,4.657628621594228,0.5007392672637143
35,delay,4,4.725,0.3333333333333333,4.656855279613411,0.5515110285656273
35,delay,8,3.465,0.25,4.635437557415078,0.4390200247446285
35,delay,16,4.19,0.75,4.442320804655555,0.7152436128137968
35,delay,32,5.3149999999999995,0.5,4.51944939233333,0.3354306266832071
35,delay,64,4.87,0.3333333333333333,3.9087121031271748,0.14928564443205888
35,delay,128,3.43,0.2727272727272727,4.2760420509743176,0.4473793063156305
35,date,2,5.07,0.75,4.654239550607106,0.4413175020647907
35,date,4,6.35,0.25,4.659538334569204,0.45930871950610364
35,date,8,6.365,0.08333333333333333,4.553711806924424,0.33610123198737163
35,date,16,4.645,0.6666666666666666,4.591680557667353,0.5342436643559245
35,date,32,4.664999999999999,0.25,4.1315417035516795,0.17939426718178433
35,date,64,3.2649999999999997,0,3.4099229417470895,0.052687136411548416
35,date,128,4.24,0,3.7925009519464994,0.130394239149826
38,delay,2,2.26,1,2.4963884445713367,0.9990733479235314
38,delay,4,2.52,1,2.556875818990211,0.9986033132667552
38,delay,8,3,0.9,2.753538973588842,0.9954410263609127
38,delay,16,3.075,1,3.107519457613885,0.9698703296204658
38,delay,32,3.9800000000000004,0.9166666666666666,3.020391567794574,0.9813101162189317
38,delay,64,3.145,0.8,3.390963207930712,0.8744339092592324
38,delay,128,1.6,0.3333333333333333,3.4969068435715034,0.7636288425590324
38,date,2,3.51,1,2.5314264299935063,0.9988226225174707
38,date,4,2.36,1,2.6062137784822235,0.998097726164102
38,date,8,3.125,1,2.845804138172178,0.9923138901128749
38,date,16,2.84,0.8333333333333334,3.2437196560778063,0.9410325842483278
38,date,32,2.7750000000000004,1,3.151785460210645,0.9643147259942008
38,date,64,3.29,0.4166666666666667,3.496266830917555,0.7697389837018719
38,date,128,3.0949999999999998,0.08333333333333333,3.5618342605408078,0.5762819083629344
43,delay,2,2.7750000000000004,0.25,3.0068955940416635,0.2958998954808396
43,delay,4,3.025,0.4166666666666667,3.0217733901292707,0.6902401382559945
43,delay,8,2.925,0.6666666666666666,3.0384019047041764,0.5673486880642173
43,delay,16,2.5,0.8333333333333334,2.9696640991487375,0.694619627442195
43,delay,32,3.02,0.18181818181818182,2.8041527354582914,0.49259686797054986
43,delay,64,2.41,0.4166666666666667,2.7448685665566925,0.4524909902021707
43,delay,128,3.285,0.4166666666666667,2.888032621765776,0.3504827635224312
43,date,2,3.92,0.3333333333333333,3.2599333000701676,0.34082631217983295
43,date,4,3.65,1,3.168238693719532,0.7409296086726511
43,date,8,3,0.75,3.2672281108643113,0.6399930324235258
43,date,16,2.9299999999999997,0.75,3.0520157205448926,0.7687449463984652
43,date,32,4.27,0.8333333333333334,3.185013084580185,0.6249607628261254
43,date,64,3.4450000000000003,0.5833333333333334,3.0023381437948182,0.5690590210185534
43,date,128,3.365,0.4166666666666667,2.7899118518768353,0.4834125712168957
50,delay,2,2.755,0.9166666666666666,2.6199067531147358,0.9959533951722598
50,delay,4,2.505,0.6666666666666666,2.7810640954747208,0.9234374836166374
50,delay,8,2.1550000000000002,0.6666666666666666,2.722602811651938,0.6539377564725981
50,delay,16,2.635,0.6666666666666666,2.9989032879650455,0.7019275970898418
50,delay,32,3.02,0.6666666666666666,3.078617682763331,0.7166648595527573
50,delay,64,2.77,0.6666666666666666,3.10476978618921,0.7992545054862313
50,delay,128,3.75,0.45454545454545453,3.1703330213177603,0.6221105554111996
50,date,2,3.69,1,2.7211512760952536,0.9908261120481613
50,date,4,3.465,0.6666666666666666,2.924671624190829,0.8385904894972072
50,date,8,2.62,0.6666666666666666,2.8421791198008415,0.6286982125951974
50,date,16,3.785,0.5833333333333334,3.1077820229682174,0.6510788690252358
50,date,32,3.45,0.5833333333333334,3.163351413730162,0.6355824883665281
50,date,64,3.735,0.6666666666666666,3.2389553423332993,0.6695451704377944
50,date,128,3.245,0.25,3.2456872589149013,0.43276908197875313
52,delay,2,2.0199999999999996,0.75,2.693625721786953,0.9930917498643443
52,delay,4,2.72,0.9090909090909091,2.6474140683522362,0.9949667676115956
52,delay,8,2.64,0.9166666666666666,2.7488331883274486,0.9901368217760516
52,delay,16,2.715,0.3333333333333333,3.1737921260704876,0.8336734719992279
52,delay,32,3.025,0.5833333333333334,3.2918566212034066,0.6291994173696318
52,delay,64,2.95,0.6666666666666666,3.3029802132920976,0.38171798145369273
52,delay,128,3.4400000000000004,0.3333333333333333,3.187081620073135,0.14555500606421942
52,date,2,2.78,1,2.6841075519288746,0.9935128566526655
52,date,4,3.55,1,2.639655105161873,0.9952319482531533
52,date,8,3.5300000000000002,1,2.737323064947752,0.9908355046301259
52,date,16,3.27,0.75,3.1566691698640708,0.8500418711279434
52,date,32,4.545,0.75,3.2834050030726405,0.6569476852667583
52,date,64,5.39,0.5833333333333334,3.305118381703507,0.4118236650732925
52,date,128,2.87,0,3.2030798361834405,0.16210377979107288
56,delay,2,2.9699999999999998,1,3.4751469925313736,0.9999
56,delay,4,5.165,1,4.2195770814466655,0.9974717947562216
56,delay,8,7.135,0.8333333333333334,4.986585376334372,0.9678420976012362
56,delay,16,6.645,0.25,5.570145713264712,0.7568829385902635
56,delay,32,5.53,0.09090909090909091,5.660093586779713,0.5400668407548678
56,delay,64,6.63,0,5.658036449362859,0.5589046351469295
56,delay,128,5.074999999999999,0,5.5925475276503205,0.26568067335225415
56,date,2,3.29,1,3.3393944271697955,0.9999
56,date,4,3.1550000000000002,1,4.014394035348022,0.9988654179522294
56,date,8,5.65,1,4.78057428456459,0.9828114345875639
56,date,16,7.859999999999999,0.5833333333333334,5.485534742614373,0.8299335907948804
56,date,32,7.55,0.5,5.640048630111467,0.637054033978079
56,date,64,6.73,0.18181818181818182,5.634149730733871,0.6551001614654186
56,date,128,3.55,0,5.622336910787566,0.3172957560576774
62,delay,2,2.84,1,2.4196866610178214,0.9923218180226095
62,delay,4,3.0149999999999997,0.75,2.651684052389971,0.93190241624364345
62,delay,8,3.01,0.9166666666666666,2.706520223836362,0.8864563266476262
